Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
6020 Bathurst Street - Valencia Towers Apartment for Rent,3209,"6020 Bathurst Street, Toronto, ON, M2R 1Z8",2024-02-24 23:30:00,Apartment,2,1,,Not Included,0,1 Year,,Yes,912,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Valencia Towers is a student- and family-friendly apartment community featuring cozy suites, coveted on-site amenities, and an excellent Bathurst Street location.Choose from bachelor, 1, 2 and 3 bedroom suites to suit your and your family's needs. These pet friendly and renovated apartment homes feature spacious layouts and private balconies. Condo-style on-site amenities include a gym, laundry facilities, and an on-site daycare, all under professional on-site management. This Certified Rental Building is located near Bathurst and Steeles in bustling North York. Students and staff can reach York University in 20 minutes by transit or 10 minutes by car. Valencia Towers is also close to shopping, grocery, restaurants, banks, pharmacies, and entertainment, including the G Ross Lord Park nearby. Make an investment in your quality of life. Come home to the comfort and convenience of Valencia Towers. nullBuilding OverivewValencia Towers is a student- and family-friendly apartment community featuring cozy suites, coveted on-site amenities, and an excellent Bathurst Street location.Choose from bachelor, 1, 2 and 3 bedroom suites to suit your and your family's needs. These pet friendly and renovated apartment homes feature spacious layouts and private balconies. Condo-style on-site amenities include a gym, laundry facilities, and an on-site daycare, all under professional on-site management. This Certified Rental Building is located near Bathurst and Steeles in bustling North York. Students and staff can reach York University in 20 minutes by transit or 10 minutes by car. Valencia Towers is also close to shopping, grocery, restaurants, banks, pharmacies, and entertainment, including the G Ross Lord Park nearby. Make an investment in your quality of life. Come home to the comfort and convenience of Valencia Towers.Current PromotionsHurry! 1 Month Free - For a limited time only | Call Today!For a limited time, you can receive ONE MONTH FREE on a 12-month lease. *Receive your first month free on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/6020-bathurst-street-valencia-towers-apartment-for-rent/1686337255
RENOVATED BACHELOR SUITE  AVAILABLE! Lakeview Towers,2000,"22 Close Avenue, Toronto, ON, M6K 2V2",2024-03-14 00:09:49,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_No,Water_Yes",Not Included,0,1 Year,,Yes,445,No,No,Balcony,No,"Laundry (In Building), Fridge / Freezer","Gym, Pool, Storage Space, Elevator in Building","Bachelors, 1 Bath, Recently Renovated Kitchen with New Appliances, Spectacular Location with CN Tower views, Unit available. Contact us at 647-694-2142!Located at 22 Close Avenue(King & Dunn)",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-suite-available-lakeview-towers/1685200605
50 Driftwood - Ruby Heights Apartment for Rent,2819,"50 Driftwood, Toronto, ON, M3N 2M6",2024-03-03 00:08:58,Apartment,2,1,,Not Included,0,1 Year,,Yes,904,No,No,Not Included,No,Fridge / Freezer,"Storage Space, Elevator in Building","Ruby Heights, located in the North York district of Toronto, has a modern flare, with bright and spacious apartments. The building is surrounded by lush green lawns, mature trees, and beautifully maintained flower beds. Ruby Heights also has a large modern lobby, and newly renovated laundry room with new front load washers, and brand new elevators.There is truly nothing else like Ruby Heights in the area, from its update corridors, to freshly painted and renovated suites, it is definitely a show piece.Units are renovated by rental commencement date and include refinished floors, ceramic tiles, updated kitchens with backsplash. nullBuilding OverivewRuby Heights, located in the North York district of Toronto, has a modern flare, with bright and spacious apartments. The building is surrounded by lush green lawns, mature trees, and beautifully maintained flower beds. Ruby Heights also has a large modern lobby, and newly renovated laundry room with new front load washers, and brand new elevators.There is truly nothing else like Ruby Heights in the area, from its update corridors, to freshly painted and renovated suites, it is definitely a show piece.Units are renovated by rental commencement date and include refinished floors, ceramic tiles, updated kitchens with backsplash.Current PromotionsOffering 1 Fully Furnished 1-Bedroom Suite!Say goodbye to the headache of furnishing your new home! Our furnished suites offer a seamless and stress-free transition in to your new living space. Call now to secure your ready made apartment today!* Valid on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!Offering 1 Fully Furnished 2-Bedroom Suite!Say goodbye to the headache of furnishing your new home! Our furnished suites offer a seamless and stress-free transition in to your new living space. Call now to secure your ready made apartment today!* Valid on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/50-driftwood-ruby-heights-apartment-for-rent/1684150841
1 Bed Apartment Rent today,2519,"100 Parkway Forest Drive, Toronto, ON, M2J 1L6",2024-03-06 00:35:06,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,665,No,No,Yard,Yes,"Laundry (In Building), Fridge / Freezer","Gym, Pool, 24 Hour Security, Storage Space, Elevator in Building","For a limited time, you can receive ONE MONTH FREEon a 12-month lease.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-apartment-rent-today/1650009067
Brand New 2-bedroom Rental in North York!  York Mills Rd. & DVP!,2690,"1225 York Road, Toronto, ON, M3A 1Y4",2024-03-04 00:39:41,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,Yes,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Storage Space, Elevator in Building","Realstar's ONE225 York Mills is North Yorks newest apartment rentals in the Parkwoods-Donalda area of Toronto, just south of the 401. This condo-styled property offers 100% smoke-free living; perfectly located at York Mills Road and the Don Valley Parkway. ONE225 York Mills offers stylish one, two, two-plus den, three and three-plus den suites. Enjoy our first-class amenities designed to provide you and your guest with an extraordinary, carefree lifestyle experience. We cannot wait to welcome you home!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-bedroom-rental-in-north-york-york-mills-rd-dvp/1679403688
Furnished room available (Eglinton West Station) Females,850,"York, Toronto, ON M6E 2X5",2024-03-10 03:56:35,,,,,,,,,No,,Yes,,,,,,"Clean 3 bedroom furnished apartment. Room available for 2 female roommate. 24 hour TTC access, 2 minute bus ride or 10 minute walk to Eglinton West station and Cedervale Park. Minutes to access downtown Toronto.",170 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-available-eglinton-west-station-females/1687787371
Collegiate Court - 1 Bedroom Apartment for Rent,1875,"481 Vaughan Road, Toronto, ON, M6C 2P6",2024-03-14 16:52:19,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,No,Not Included,Yes,"Laundry (In Building), Fridge / Freezer",,"A clean, quiet and well-maintained rental building, this midtown mid-rise offers bachelor, one- and two-bedroom apartments. Midtown is favoured because it offers easy access to the entire city. Bus service and proximity to St. Clair West Subway Station, plus the Allen Expressway only minutes away adds access and convenience to these apartments for rent. With a great variety of area amenities, from grocery shopping and area restaurants to schools, parks and recreational facilities, this is an obvious choice to call home.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/collegiate-court-1-bedroom-apartment-for-rent/1678919222
"Chatsworth Apartments - 1 Bdrm available at 2928 Yonge Street, T",2295,"2928 Yonge Street, Toronto, ON, M4R 2K2",2024-03-14 16:50:45,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,680,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",Elevator in Building,1 Month Free Rent,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chatsworth-apartments-1-bdrm-available-at-2928-yonge-street-t/1663969893
Basement for rent in Scarborough,,"Brenda Crescent, Scarborough, ON",2024-03-14 16:49:09,Basement,2,1,,Not Included,1,1 Year,"April 1, 2024",No,900,No,Yes,Not Included,No,"Laundry (In Unit), Fridge / Freezer",,2 bedrooms 1 washroom full renovate basement apartment for rent and subway and bus stop close all the amenities,2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-for-rent-in-scarborough/1688207785
One Bedroom condo available,2350,"Toronto, ON M5G 2J1",2024-03-14 16:48:27,Condo,1,1,,Not Included,0,1 Year,"March 1, 2024",Limited,600,Yes,Yes,Balcony,Outdoors only,Laundry (In Unit),"Gym, Pool, Concierge, 24 Hour Security, Storage Space, Elevator in Building","Discover the epitome of modern living in our one-bedroom apartment, featuring high-end finishes and a modern kitchen and bathroom adorned with light colour finishes and functional designer cabinetry. The apartment comes partially furnished with a 65-inch TV, a cozy sofa, and a queen-size bedroom. Retail giants like Walmart to your favourite coffee spot at Starbucks, and essential banking services at TD and BMO, all are at door step. Public Transit Score of 100.",1 visit,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-condo-available/1688207712
